i,short,en,stop,rk,tg,date,tpct1,tpct2,tempo_ratio,amp1,amp2,amp_sum,dur1,dur2,dur_ratio,vol_ratio,ibs1,ibs2,range1,range2,box_pts,box_abr,overlap,sb_poke_abr,rt_depth_abr,net6_abr,net20_abr,fade_run20,eff10,t10,ncx20,prev_state,sess_net_abr,pos_in_day_range,dayrange_abr,gap_abr,new20,new60,newsess,beyond_pd,room_abr,dist_lvl_abr,session_min,hour_ct,dow,side,n_prior_day,prev_res_day,res,pnl,R,win,year
129,True,5108.0,5112.75,4.75,5098.5,2021-07-08,97.22222222222223,97.29729729729729,1.7624699559241692,153.6,160.0,313.6,176.893911004,100.367050462,0.567385558340278,0.9401234031459111,0.875,0.4074074074074074,6.0,6.75,7.5,1.7777777777777777,0.9166666666666666,-0.11851851851851852,-0.11851851851851852,0.5333333333333333,0.11851851851851852,True,0.03409090909090909,67.46522086086361,1,6,3.7925925925925927,0.6647058823529411,10.074074074074074,-13.57037037037037,False,False,False,True,,2.785185185185185,368.85544779648336,14,3,short,0,none,target,9.5,2.0,True,2021
44,False,5140.0,5134.5,5.5,5151.0,2021-07-16,97.10144927536231,98.57142857142857,1.3893662991468996,128.57142857142858,157.14285714285714,285.7142857142857,111.195166402,80.033009632,0.7197525955639066,1.0813382122320963,0.0,0.9545454545454546,4.5,5.5,6.5,1.8571428571428572,0.8333333333333334,0.5,-0.21428571428571427,-0.6428571428571429,-0.42857142857142855,True,0.019736842105263157,68.85220273132525,2,2,-7.071428571428571,0.1721311475409836,8.714285714285714,4.928571428571429,False,False,False,False,1.7142857142857142,1.7142857142857142,95.92304835358333,10,4,long,0,none,stop,-5.5,-1.0,False,2021
1,False,5066.25,5063.0,3.25,5072.75,2021-07-19,98.21428571428571,96.44970414201184,0.757572650861211,143.82022471910113,123.07692307692308,266.8971477960242,21.272699392,28.08007835,1.3200054131616246,0.9721347225587594,0.4375,0.7857142857142857,4.0,3.5,4.25,1.4945054945054945,0.875,-0.08791208791208792,0.967032967032967,,,False,,,0,-1,0.0,0.75,1.4065934065934067,-16.87912087912088,False,False,False,True,16.703296703296704,16.703296703296704,0.5984785129500001,8,0,long,0,none,stop,-3.25,-1.0,False,2021
25,False,5050.5,5046.5,4.0,5058.5,2021-07-19,96.7741935483871,95.2,0.9851945131164812,100.0,86.33093525179856,186.33093525179856,56.349375964,57.196193456,1.0150279834960554,0.9365534989607047,0.0,1.0,4.5,3.75,6.75,1.5539568345323742,0.3888888888888889,0.460431654676259,-0.5755395683453237,-2.762589928057554,-3.223021582733813,True,0.3050847457627119,86.29643368898685,3,0,-3.6258992805755397,0.15151515151515152,5.697841726618705,-11.050359712230216,True,True,True,True,14.56115107913669,14.56115107913669,23.66798040595,8,0,long,1,stop,stop,-4.0,-1.0,False,2021
26,True,5046.5,5051.75,5.25,5036.0,2021-07-19,95.2,99.0,1.160327226827762,86.33093525179856,131.42857142857142,217.75950668036998,57.196193456,49.293158114,0.861825851259146,1.1026210103572183,1.0,0.13043478260869565,3.75,5.75,6.0,1.3714285714285714,1.0,0.22857142857142856,0.5142857142857142,-3.142857142857143,-3.8857142857142857,False,0.4971751412429379,89.83773803681294,4,0,-4.514285714285714,0.02912621359223301,5.885714285714286,-10.971428571428572,False,False,False,True,,15.371428571428572,24.621257900950003,8,0,short,2,stop,stop,-5.25,-1.0,False,2021
35,False,5041.25,5038.5,2.75,5046.75,2021-07-19,97.22222222222223,99.0,1.102098123990283,80.57553956834532,86.15384615384616,166.72938572219147,54.99139464,49.897004126,0.9073602234067653,0.9447776825668857,0.21428571428571427,0.6428571428571429,3.5,3.5,4.0,0.9846153846153847,0.9285714285714286,-0.06153846153846154,0.12307692307692308,-1.9076923076923078,-5.6,True,0.2215568862275449,94.41392707356302,9,0,-6.153846153846154,0.07633587786259542,8.061538461538461,-11.815384615384616,True,True,True,True,17.846153846153847,17.846153846153847,33.53150403401666,9,0,long,3,stop,target,5.5,2.0,True,2021
47,False,5034.5,5030.5,4.0,5042.5,2021-07-19,95.6043956043956,98.91304347826087,1.3532044792836244,94.67455621301775,76.64670658682634,171.32126279984408,65.095816538,48.104937232,0.7389866168115199,1.18420523138833,0.1,0.9375,5.0,4.0,5.5,1.0538922155688621,0.75,0.047904191616766456,-0.047904191616766456,-1.4371257485029938,-2.059880239520958,True,0.24878048780487805,86.21737468091935,9,0,-6.08383233532934,0.09202453987730061,7.808383233532933,-9.19760479041916,True,True,True,True,15.185628742514968,15.185628742514968,48.80575493315,9,0,long,4,target,target,8.0,2.0,True,2021
109,True,5035.5,5040.75,5.25,5025.0,2021-07-19,95.0,97.36842105263158,1.4923616665015123,123.07692307692308,114.28571428571429,237.36263736263737,146.969174078,98.480936208,0.6700788571876566,1.3880810751266799,0.8636363636363636,0.22727272727272727,5.5,5.5,6.5,1.3506493506493507,0.8636363636363636,-0.15584415584415584,0.6233766233766234,-1.6623376623376624,-3.948051948051948,False,0.18181818181818182,88.36892741031679,2,1,-6.3896103896103895,0.1165644171779141,8.467532467532468,-9.974025974025974,False,False,False,True,,16.25974025974026,181.5580963710833,11,0,short,5,target,rev,6.0,1.1428571428571428,True,2021
113,False,5029.5,5027.0,2.5,5034.5,2021-07-19,95.1219512195122,95.23809523809524,1.1817635004118847,95.36423841059603,57.51633986928105,152.88057827987708,121.320707634,102.66073338,0.8461929985580585,0.8604830619646577,0.05555555555555555,0.8181818181818182,4.5,2.75,6.25,1.3071895424836601,0.2777777777777778,0.3137254901960784,-0.7320261437908496,-1.8823529411764706,-5.856209150326797,True,0.3111111111111111,92.51657935001965,3,6,-7.686274509803922,0.05084745762711865,9.254901960784315,-10.03921568627451,True,True,True,True,17.62091503267974,17.62091503267974,192.40979800175,11,0,long,6,rev,stop,-2.5,-1.0,False,2021
121,False,5036.0,5033.0,3.0,5042.0,2021-07-19,97.22222222222223,97.29729729729729,1.1846930706401133,78.04878048780488,123.07692307692308,201.12570356472796,125.011766948,105.522493586,0.8441004887955325,1.466533150627174,0.3333333333333333,0.6111111111111112,3.0,4.5,4.75,1.2991452991452992,1.0,0.06837606837606838,0.41025641025641024,2.1196581196581197,-1.5726495726495726,True,0.0784313725490196,94.18855196451872,6,2,-8.273504273504274,0.2111111111111111,12.307692307692308,-13.128205128205128,False,False,False,True,21.264957264957264,21.264957264957264,212.40572401038335,12,0,long,7,stop,stop,-3.0,-1.0,False,2021
